#Iteration center.0 center.1 sigma.0 sigma.1 height
196000 -2.1393497 2.0642685 0.3 0.3 0.3
197000 -2.2871786 1.8152883 0.3 0.3 0.3
198000 -2.3776689 2.9685981 0.3 0.3 0.3
199000 -2.4676412 2.9875375 0.3 0.3 0.3
200000 -1.26826 2.6862032 0.3 0.3 0.3
201000 -1.523641 2.5910586 0.3 0.3 0.3
202000 -2.864482 2.5742987 0.3 0.3 0.3
203000 -2.3569015 1.8803189 0.3 0.3 0.3
204000 -2.6714579 2.1541647 0.3 0.3 0.3
205000 -2.6500549 1.3512128 0.3 0.3 0.3
206000 -2.5459113 0.97625118 0.3 0.3 0.3
207000 -2.8831453 1.2032908 0.3 0.3 0.3
208000 -2.060254 1.1829449 0.3 0.3 0.3
209000 -2.463757 0.61473793 0.3 0.3 0.3
210000 -2.6093113 1.2031206 0.3 0.3 0.3
211000 -2.4592595 1.3586326 0.3 0.3 0.3
212000 -2.4427746 1.1576751 0.3 0.3 0.3
213000 -2.0497961 2.9035641 0.3 0.3 0.3
214000 -2.9148287 2.3606818 0.3 0.3 0.3
215000 -2.7347527 2.8381721 0.3 0.3 0.3
216000 -1.958734 1.7298712 0.3 0.3 0.3
217000 -1.8820568 1.7102935 0.3 0.3 0.3
218000 -2.1747102 1.7108007 0.3 0.3 0.3
219000 -1.9676913 1.6477248 0.3 0.3 0.3
220000 -2.5707887 1.9573838 0.3 0.3 0.3
221000 -2.6189005 1.6841771 0.3 0.3 0.3
222000 -2.3771496 1.2168623 0.3 0.3 0.3
223000 -2.4685665 1.2609334 0.3 0.3 0.3
224000 -2.1768777 1.9535431 0.3 0.3 0.3
225000 -1.2467591 2.0692125 0.3 0.3 0.3
226000 -0.47507083 2.1184927 0.3 0.3 0.3
227000 -1.0546574 1.8891639 0.3 0.3 0.3
228000 -0.57850199 2.0836803 0.3 0.3 0.3
229000 -1.2168083 2.4098944 0.3 0.3 0.3
230000 -1.1792397 2.869113 0.3 0.3 0.3
231000 -0.98365754 2.9240269 0.3 0.3 0.3
232000 -1.8304411 2.6819955 0.3 0.3 0.3
233000 -0.69795098 2.6103035 0.3 0.3 0.3
234000 -1.0475193 2.2367116 0.3 0.3 0.3
235000 -0.90186248 2.0086683 0.3 0.3 0.3
236000 -2.2993716 2.8024413 0.3 0.3 0.3
237000 -2.5883483 3.0775612 0.3 0.3 0.3
238000 -2.3290664 2.5984026 0.3 0.3 0.3
239000 -3.0212628 2.6897317 0.3 0.3 0.3
240000 -2.6316371 2.9590259 0.3 0.3 0.3
241000 -1.0245993 2.8243722 0.3 0.3 0.3
242000 -1.8955973 2.7719834 0.3 0.3 0.3
243000 -1.0214534 2.4675539 0.3 0.3 0.3
244000 -0.55876713 2.3607626 0.3 0.3 0.3
245000 -1.0000501 2.4807776 0.3 0.3 0.3
246000 -1.0648321 2.8768195 0.3 0.3 0.3
247000 -2.4370891 1.9998734 0.3 0.3 0.3
248000 -1.7308008 2.2399868 0.3 0.3 0.3
249000 -2.0287665 2.664275 0.3 0.3 0.3
250000 -1.5691126 1.5570033 0.3 0.3 0.3
251000 -1.5921458 2.4899629 0.3 0.3 0.3
252000 -0.91499428 2.3631962 0.3 0.3 0.3
253000 -1.9849051 2.8535759 0.3 0.3 0.3
254000 -2.6247508 2.7787156 0.3 0.3 0.3
255000 -1.339229 2.5930889 0.3 0.3 0.3
256000 -2.9144704 2.6882918 0.3 0.3 0.3
257000 -2.7147871 2.9021478 0.3 0.3 0.3
258000 -2.6184895 2.1488554 0.3 0.3 0.3
259000 -2.6848555 2.5836253 0.3 0.3 0.3
260000 -1.2474276 3.0423199 0.3 0.3 0.3
261000 -1.4513131 2.5908512 0.3 0.3 0.3
262000 -0.49412131 2.4459694 0.3 0.3 0.3
263000 -2.1615568 2.5240386 0.3 0.3 0.3
264000 -2.6433012 -3.1272645 0.3 0.3 0.3
265000 -2.7174006 2.719986 0.3 0.3 0.3
266000 -0.94933525 1.9377566 0.3 0.3 0.3
267000 -1.039389 2.2064207 0.3 0.3 0.3
